ACH3666 ; A Cidade Constitucional
5920814 ; Biologia Tecidual
5920830 ; Biologia Tecidual
5920883 ; Bioprospecção para Processos Biotecnológicos
5920883 ; Bioprospecção para Processos Biotecnológicos
5930233 ; Bioquímica Experimental
5931022 ; Bioquímica Experimental
5930232 ; Bioquímica I
5930252 ; Bioquímica II
5930185 ; Bioquímica Industrial
5930147 ; Bioquímica Industrial Experimental
5920976 ; Bioquímica para Ciências Biológicas
5931017 ; Bioquímica Teórica I
5931021 ; Bioquímica Teórica II
5920817 ; Biotecnologia
5920946 ; Biotecnologia Ambiental
5920943 ; Biotecnologia Animal
5920943 ; Biotecnologia Animal
5920935 ; Biotecnologia Básica
5920881 ; Biotecnologia na Apicultura: Acasalamentos naturais e Inseminação Instrumental em Abelhas Apis mellifera
5920948 ; Biotecnologia na Saúde
5920944 ; Biotecnologia Vegetal
5920284 ; Botânica Econômica
5961043 ; Brinquedos e Brincadeiras na Educação Infantil
5910106 ; Cálculo Diferencial e Integral I
5950106 ; Cálculo Diferencial e Integral I
5950253 ; Cálculo Diferencial e Integral I
5952001 ; Cálculo Diferencial e Integral I
5950202 ; Cálculo Diferencial e Integral II
5950254 ; Cálculo Diferencial e Integral II
5952002 ; Cálculo Diferencial e Integral II
5950307 ; Calculo Diferencial e Integral III
5952003 ; Cálculo Diferencial e Integral III
5952025 ; Cálculo Estocástico
5950256 ; Cálculo Numérico
5952006 ; Cálculo Numérico
5952023 ; Cálculo Variacional e Controle Ótimo em Economia
5970430 ; Canto Coral I
5970431 ; Canto Coral II
5970432 ; Canto Coral III
5970433 ; Canto Coral IV
5970434 ; Canto Coral V
5970435 ; Canto Coral VI
5970436 ; Canto Coral VII
5970437 ; Canto Coral VIII
5970402 ; Canto I
5970403 ; Canto II
5970406 ; Canto III
5970407 ; Canto IV
5970416 ; Canto V
5970417 ; Canto VI
5970422 ; Canto VII
5970423 ; Canto VIII
5920856 ; Cartografia e Fotointerpretação
5961136 ; Cartografia Escolar
5920868 ; Certificação Ambiental
5962001 ; Ciência da Informação
5930124 ; Ciências Forenses
5930125 ; Ciências Sociais
5971300 ; Colaboração Pianística I
5971301 ; Colaboração Pianística II
5971302 ; Colaboração Pianística III
5971303 ; Colaboração Pianística IV
5971304 ; Colaboração Pianística V
5971305 ; Colaboração Pianística VI
5971306 ; Colaboração Pianística VII
5952018 ; Complementos de Álgebra Linear
5950229 ; Complementos de Matemática para a Química
5920224 ; Comportamento Animal
5920220 ; Comportamento Humano e Evolução: Abordagens Biológicas e Culturais
5962099 ; Comunicação Científica
5920116 ; Comunicação e Linguagem no Ensino de Biologia
5920956 ; Comunicação e Linguagem no Ensino de Biologia
5962011 ; Comunicação, Linguagem e Informação
5970548 ; Conceitos Fundamentais da Música
5970549 ; Conceitos Fundamentais da Música II
5961129 ; Concepções e Práticas Pedagógicas de Educação Infantil
5920854 ; Conservação de Recursos Genéticos Vegetais
5962082 ; Constituição dos Sentidos e dos Sujeitos no Discurso Literário Infanto-juvenil
5931045 ; Construção Histórica e Social do Currículo: Debatendo o Ensino de Química na Escola Básica
5940193 ; Contribuições da Psicologia à Odontologia I
5940194 ; Contribuições da Psicologia à Odontologia II
5910162 ; Controle de Qualidade em Medicina Nuclear
5970408 ; Criação Musical I
5970409 ; Criação Musical II
5970420 ; Criação Musical III
5970421 ; Criação Musical IV
5930136 ; Criminalística
5910606 ; Cristalografia
5962090 ; Cultura, Sociedade e Informação
5930693 ; Curso Básico de AutoCAD
5961067 ; Desenvolvimento Cognitivo e Prática Educativa
5962079 ; Desenvolvimento de Trabalho de Conclusão de Curso I
5962080 ; Desenvolvimento de Trabalho de Conclusão de Curso II
5961020 ; Didática da Alfabetização: Teoria, Princípios e Procedimentos
5961176 ; Didática das Ciências
5961120 ; Didática Geral I
5960121 ; Didática Geral II
5961012 ; Didática I
5961089 ; Didática II
5940116 ; Dinâmica de Grupo
5961145 ; Discutindo os Conceitos de Física com as Crianças Pequenas
5940049 ; Distúrbios Emocionais, Cognitivos e Comportamentais na Infância e Adolescência
5920820 ; Diversidade da Vida
5962029 ; Documentação Audiovisual
5910152 ; Dosimetria
5920874 ; Ecofisiologia Vegetal
5920874 ; Ecofisiologia Vegetal
5920931 ; Ecologia  Evolutiva
5920850 ; Ecologia Comportamental
5920805 ; Ecologia de Ecossistemas
5920866 ; Ecologia de Paisagens
5920977 ; Ecologia de Paisagens
5920873 ; Ecologia de Populações
5930675 ; Ecologia para Química
5920120 ; Ecologia Trófica e Populacional
5920813 ; Ecologia Vegetal
5920840 ; Ecossistemas
5920886 ; Ecossistemas Aquáticos
5961053 ; Educação a Distância: Fundamentos e Políticas
5920972 ; Educação Ambiental
5961048 ; Educação Ambiental
5961034 ; Educação de Jovens e Adultos
5961132 ; Educação de Jovens e Adultos: Aspectos Históricos, Políticas Públicas e Sujeitos Educandos
5961128 ; Educação e Cultura Corporal: Fundamentos e Práticas
5961105 ; Educação e Saúde na Comunidade
5940215 ; Educação e Subjetividade
5961101 ; Educação Infantil I
5961102 ; Educação Infantil II
5910160 ; Efeitos Biológicos das Radiações Ionizantes
5962063 ; Elaboração de Resumos Documentários e Indexação
5910200 ; Elementos de Anatomia e Fisiologia Humana
5920815 ; Elementos de Anatomia e Fisiologia Humana
5950261 ; Elementos de Cálculo
5952030 ; Elementos de Matemática Básica
5910150 ; Eletromagnetismo
5910130 ; Eletrônica
5931053 ; Eletroquímica
5930665 ; Eletroquímica Ambiental
5930107 ; Eletroquímica Fundamental e Aplicada
5930637 ; Elucidação Estrutural de Compostos Orgânicos por Métodos Espectrométricos
5920319 ; Embriologia e Morfogênese
5920835 ; Embriologia e Morfogênese
5910192 ; Empreendedorismo para Física Médica
5930186 ; Empreendedorismo Tecnológico
5931041 ; Ensino de Química Sob a Perspectiva do Movimento Cts e da Educação Ambiental
5930670 ; Enzimologia
5920936 ; Enzimologia Aplicada
5940045 ; Epistemologia das Ciências Humanas
5961150 ; Escola, Infância e Cinema
5961082 ; Escrita, Alfabetização e Letramento: Uma Abordagem Histórica
5920978 ; Espaços de Ensino não Formal de Biologia
5952020 ; Espaços Métricos
5910168 ; Estágio
5911081 ; Estágio
5952017 ; Estágio
5962081 ; Estágio
5920855 ; Estágio de Pesquisa I em Biologia Ambiental
5920919 ; Estágio de Pesquisa I em Biologia Evolutiva
5920979 ; Estágio de Pesquisa I em Biologia Geral
5920934 ; Estágio de Pesquisa I em Biologia Molecular e Tecnológica
5920862 ; Estágio de Pesquisa II em Biologia Ambiental
5920925 ; Estágio de Pesquisa II em Biologia Evolutiva
5920980 ; Estágio de Pesquisa II em Biologia Geral
5920940 ; Estágio de Pesquisa II em Biologia Molecular e Tecnológica
5920131 ; Estágio em Biologia Geral I
5920887 ; Estágio em Biologia Geral I
5920139 ; Estágio em Biologia Geral II
5920888 ; Estágio em Biologia Geral II
5920140 ; Estágio em Biologia Geral III
5920889 ; Estágio em Biologia Geral III
5920141 ; Estágio em Biologia Geral IV
5920890 ; Estágio em Biologia Geral IV
5930240 ; Estágio em Bioquímica
5920132 ; Estágio em Botânica I
5920891 ; Estágio em Botânica I
5920142 ; Estágio em Botânica II
5920892 ; Estágio em Botânica II
5920143 ; Estágio em Botânica III
5920893 ; Estágio em Botânica III
5920144 ; Estágio em Botânica IV
5920894 ; Estágio em Botânica IV
5971274 ; Estágio em Ciências da Performance I
5971275 ; Estágio em Ciências da Performance II
5971276 ; Estágio em Ciências da Performance III
5971277 ; Estágio em Ciências da Performance IV
5971278 ; Estágio em Ciências da Performance V
5971279 ; Estágio em Ciências da Performance VI
5971280 ; Estágio em Ciências da Performance VII
5971281 ; Estágio em Ciências da Performance VIII
5920133 ; Estágio em Ecologia I
5920895 ; Estágio em Ecologia I
5920145 ; Estágio em Ecologia II
5920896 ; Estágio em Ecologia II
5920146 ; Estágio em Ecologia III
5920897 ; Estágio em Ecologia III
5920147 ; Estágio em Ecologia IV
5920898 ; Estágio em Ecologia IV
5920134 ; Estágio em Fisiologia Animal I
5920899 ; Estágio em Fisiologia Animal I
5920148 ; Estágio em Fisiologia Animal II
5920900 ; Estágio em Fisiologia Animal II
5920149 ; Estágio em Fisiologia Animal III
5920901 ; Estágio em Fisiologia Animal III
5920150 ; Estágio em Fisiologia Animal IV
5920902 ; Estágio em Fisiologia Animal IV
5920136 ; Estágio em Genética, Evolução e Biologia Molecular I
5920907 ; Estágio em Genética, Evolução e Biologia Molecular I
5920154 ; Estágio em Genética, Evolução e Biologia Molecular II
5920908 ; Estágio em Genética, Evolução e Biologia Molecular II
5920155 ; Estágio em Genética, Evolução e Biologia Molecular III
5920909 ; Estágio em Genética, Evolução e Biologia Molecular III
5920156 ; Estágio em Genética, Evolução e Biologia Molecular IV
5920910 ; Estágio em Genética, Evolução e Biologia Molecular IV
5920135 ; Estágio em Geologia e Paleontologia I
5920903 ; Estágio em Geologia e Paleontologia I
5920151 ; Estágio em Geologia e Paleontologia II
5920904 ; Estágio em Geologia e Paleontologia II
5920152 ; Estágio em Geologia e Paleontologia III
5920905 ; Estágio em Geologia e Paleontologia III
5920153 ; Estágio em Geologia e Paleontologia IV
5920906 ; Estágio em Geologia e Paleontologia IV
5920137 ; Estágio em Microbiologia I
5920911 ; Estágio em Microbiologia I
5920157 ; Estágio em Microbiologia II
5920912 ; Estágio em Microbiologia II
5920158 ; Estágio em Microbiologia III
5920913 ; Estágio em Microbiologia III
5920159 ; Estágio em Microbiologia IV
5920914 ; Estágio em Microbiologia IV
5930241 ; Estágio em Química Analítica
5930246 ; Estágio em Química Tecnológica
5920138 ; Estágio em Zoologia I
5920915 ; Estágio em Zoologia I
5920160 ; Estágio em Zoologia II
5920916 ; Estágio em Zoologia II
5920161 ; Estágio em Zoologia III
5920917 ; Estágio em Zoologia III
5920162 ; Estágio em Zoologia IV
5920918 ; Estágio em Zoologia IV
5930662 ; Estágio I - Química Forense
5930154 ; Estágio I ? Bioquímica e Biologia Molecular
5930162 ; Estágio I ? Físico-química
5930170 ; Estágio I ? Química Ambiental
5930158 ; Estágio I ? Química Analítica
5930174 ; Estágio I ? Química Inorgânica
5930166 ; Estágio I ? Química Orgânica
5930178 ; Estágio I ? Química Tecnológica
5930182 ; Estágio I ? Química Tecnológica, Biotecnológica e Agroindustrial
5930155 ; Estágio II - Bioquímica e Biologia Molecular
5930664 ; Estágio II - Química Forense
5930663 ; Estágio II - Química Tecnológica, Biotecnológica e Agroindustrial
5930163 ; Estágio II ? Físico-química
5930171 ; Estágio II ? Química Ambiental
5930159 ; Estágio II ? Química Analítica
5930175 ; Estágio II ? Química Inorgânica
5930167 ; Estágio II ? Química Orgânica
5930179 ; Estágio II ? Química Tecnológica
5930156 ; Estágio III - Bioquímica e Biologia Molecular
5930160 ; Estágio III - Química Analítica
5930164 ; Estágio III ? Físico-química
5930172 ; Estágio III ? Química Ambiental
5930176 ; Estágio III ? Química Inorgânica
5930168 ; Estágio III ? Química Orgânica
5930180 ; Estágio III ? Química Tecnológica
5930157 ; Estágio IV ? Bioquímica e Biologia Molecular
5930165 ; Estágio IV ? Físico-química
5930173 ; Estágio IV ? Química Ambiental
5930161 ; Estágio IV ? Química Analítica
5930177 ; Estágio IV ? Química Inorgânica
5930169 ; Estágio IV ? Química Orgânica
5930181 ; Estágio IV ? Química Tecnológica
5920872 ; Estágio Profissionalizante em Biologia Ambiental I
5920968 ; Estagio Profissionalizante em Biologia Ambiental II
5920951 ; Estágio Profissionalizante em Biologia Molecular e Tecnológica I
5920970 ; Estágio Profissionalizante em Biologia Molecular e Tecnológica II
5910221 ; Estatística Aplicada à Educação
5910209 ; Estatística Aplicada I
5910212 ; Estatística Aplicada II
5910125 ; Estatistica Básica
5910205 ; Estatistica I
5910302 ; Estatistica II
5950126 ; Estatística para Química Tecnológica
5962085 ; Estudos da Linguagem: Leitura e Produção de Textos Científicos
5931034 ; Estudos Independentes I
5931035 ; Estudos Independentes II
5931036 ; Estudos Independentes III
5961121 ; Estudos Textuais e Produção Linguística
5961049 ; Ética Geral
5940007 ; Etica Profissional
5962091 ; Ética, Política e Informação
5970388 ; Etnomusicologia
5940218 ; Etologia e Genética
5920708 ; Evolução
5920921 ; Evolução  de  Genes  e  Genomas
5910224 ; Evolução dos Conceitos da Física
5920818 ; Evolução e Sistemática Biológica
5910137 ; Experimentos em Dosimetria de Radiações Ionizantes
5910133 ; Experimentos em Física Atômica e Radiações Ionizantes
5920926 ; Filogenia dos Metazoa
5920819 ; Filosofia da Ciência, Epistemologia e Ética
5961007 ; Filosofia da Educação I
5961009 ; Filosofia da Educação II
5961088 ; Financiamento da Educação no Brasil
5910197 ; Física - Modelos e Aplicações
5913001 ; Física Acústica
5910195 ; Física Básica I
5910196 ; Física Básica II
5910154 ; Física Computacional
5910151 ; Física das Radiações
5910218 ; Física de Dispositivos Semicondutores
5910158 ; Física do Corpo Humano
5910153 ; Física Estatística
5910234 ; Física Experimental
5910177 ; Física Experimental - Eletricidade e Magnetismo
5910174 ; Física Experimental - Mecânica
5910175 ; Física Experimental - Ondas, Fluídos e Termodinâmica
5910127 ; Física Experimental - Ótica
5910235 ; Física I
5910166 ; Física I - Mecânica
5910263 ; Física I para Licenciatura
5910236 ; Física II
5910170 ; Física II - Ondas, Fluídos e Termodinâmica
5910264 ; Física II para Licenciatura
5910233 ; Física III
5910171 ; Física III - Eletricidade e Magnetismo
5910265 ; Física III para Licenciatura
5910172 ; Física IV - Ótica
5910155 ; Física Matemática I
5910163 ; Física Matemática II
5910128 ; Física Moderna I
5910190 ; Física Moderna II
5930346 ;1 Fisico Quimica I
5931008 ; Físico Química I - Físico Química de Equilíbrio
5930347 ;1 Físico Química II
5931012 ; Físico Química II - Físico Química Dinâmica
5930300 ;1 Físico Química III
5931019 ; Físico- Química Experimental
5930183 ; Físico-química Experimental
5930647 ;1 Físico-Química IV
5920119 ; Fisiologia Comparativa da Osmorregulação e Digestória
5920226 ; Fisiologia Comparativa da Respiração, Circulação e Metabolismo
5920225 ; Fisiologia Comparativa dos Sistemas Endócrino e Muscular
5920848 ; Fisiologia Comparativa dos Sistemas Endócrino e Muscular
5920848 ; Fisiologia Comparativa dos Sistemas Endócrino e Muscular
5920975 ; Fisiologia Comparativa I
5920230 ; Fisiologia Vegetal
5920852 ; Fisiologia Vegetal
5962087 ; Formação e Atuação do Profissional da Informação
5952007 ; Funções de uma Variável Complexa e Equações Diferenciais Parciais
5961124 ; Fundamentos Antropológicos da Educação
5970529 ; Fundamentos da Acústica Musical I
5970530 ; Fundamentos da Acústica Musical II
5970542 ; Fundamentos da Educação Musical
5961084 ; Fundamentos de Educação Especial
5910178 ; Fundamentos de Física e Matemática
5930694 ; Fundamentos de Físico-Química Orgânica
5962056 ; Fundamentos de Lógica
5930697 ; Fundamentos de Química Analítica
5930217 ; Fundamentos de Química Experimental
5920831 ; Fundamentos em Ecologia
5910226 ; Fundamentos Físicos do Som na Música
5961127 ; Fundamentos Históricos e Políticos da Educação Infantil Brasileira
5961085 ; Fundamentos Psicológicos da Educação I
5961090 ; Fundamentos Psicológicos da Educação II
5961069 ; Fundamentos Psicológicos da Educação III
5961144 ; Fundamentos Psicológicos da Educação III
5962096 ; Gênero e Juventude: Conceitos, Representações e Imaginários Sociais
5920928 ; Genética  de  Populações  e  Quantitativa
5920508 ; Genética I
5920827 ; Genética I
5920117 ; Genética II
5920833 ; Genética II
5920811 ; Geologia
5920821 ; Geologia
5920923 ; Geologia Histórica
5950228 ; Geometria Analítica
5952034 ; Geometria Diferencial
5920863 ; Geoprocessamento e Sensoriamento Remoto
5930685 ; Geoquímica
5962095 ; Gerenciamento de Conteúdo Digital
5962098 ; Gerenciamento Eletrônico de Documentos
5930684 ; Gestão Ambiental
5962053 ; Gestão da Informação e do Conhecimento
5930193 ; Gestão da Qualidade na Agroindústria
5920858 ; Gestão de Áreas Protegidas
5940214 ; Gestão de Carreira I
5940222 ; Gestão de Carreira II
5962092 ; Gestão de Coleções em Unidades de Informação
5920882 ; Gestão de Projetos e Administração de Inovações
5962069 ; Gestão do Conhecimento e Inteligência Competitiva
5961025 ; Gestão e Coordenação do Trabalho na Escola I
5961029 ; Gestão e Coordenação do Trabalho na Escola II
5961139 ; Gestão Educacional e Coordenação do Trabalho na Escola I
5961140 ; Gestão Educacional e Coordenação do Trabalho na Escola II
5961133 ; Gestão Educacional: Políticas, Processos e Cotidiano Escolar
5940145 ; Grupo de Orientação Profissional I
5940154 ; Grupo de Orientação Profissional II
5970389 ; Grupo de Percussão Complementar I
5970390 ; Grupo de Percussão Complementar II
5971310 ; Harmonia e Contraponto I
5971311 ; Harmonia e Contraponto II
5971312 ; Harmonia e Contraponto III
5971313 ; Harmonia e Contraponto IV
5970245 ; História  da Musica VI
5920920 ; História  do  Pensamento  Biológico
5920828 ; História da Biologia
5961002 ; História da Educação
5961005 ; História da Educação II
5961099 ; História da Educação III
5961092 ; História da Educação Infantil no Brasil
5961125 ; História da Educação no Brasil
5940026 ; História da Filosofia I
5940033 ; História da Filosofia II
5970677 ; História da Música I
5970678 ; História da Música II
5970679 ; História da Música III
5970680 ; História da Música IV
5970244 ; História da Música V
5940030 ; História da Psicologia Contemporânea
5931030 ; História da Química
5971298 ; Historia da Teoria da Música Ocidental I
5971299 ; Historia da Teoria da Música Ocidental II
5962008 ; História dos Meios de Transmissão Cultural e dos Equipamentos Culturais
5940039 ; História dos Saberes Psicológicos
5970007 ; História e Estilo da Música I
5970008 ; História e Estilo da Música II
5970009 ; História e Estilo da Música III
5970010 ; História e Estilo da Música IV
5971309 ; História e Filosofia da Arte
5961040 ; História e Filosofia da Ciência
5931052 ; Identificação de Metabólitos Secundários Bioativos de Origem Natural: Tópicos Gerais
5910142 ; Imagens Por Ressonância Magnética Nuclear em Biomedicina
5920839 ; Imunologia e Parasitologia
5961083 ; Infância e Família no Brasil: Aspectos Históricos e Educacionais
5940063 ; Infância e Práticas Educativas I
5940069 ; Infância e Práticas Educativas II
5962051 ; Informação e Meios de Comunicação
5910161 ; Informática Aplicada à Biomedicina
5950267 ; Informática Instrumental
5930225 ; Inglês Instrumental
5952016 ; Inglês Instrumental
5962066 ; Inglês Instrumental para o CID
5931002 ; Iniciação à Química
5930145 ; Instalações Industriais e Desenho Técnico
5970011 ; Instrumentação e Orquestração
5970426 ; Instrumentação e Orquestração I
5970427 ; Instrumentação e Orquestração II
5970578 ; Instrumento complementar I
5970579 ; Instrumento complementar II
5970683 ; Instrumento Complementar III
5970684 ; Instrumento complementar IV
5970685 ; Instrumento Complementar V
5970686 ; Instrumento Complementar VI
5970272 ; Instrumento I
5970273 ; Instrumento II
5970274 ; Instrumento III
5970275 ; Instrumento IV
5970001 ; Instrumento ou Canto I
5970276 ; Instrumento V
5970277 ; Instrumento VI
5970278 ; Instrumento VII
5970279 ; Instrumento VIII
5930128 ; Integração do Estudante de Química na Universidade e na Profissão
5962041 ; Inteligência Competitiva com Enfoque Empreendedor I
5962041 ; Inteligência Competitiva com Enfoque Empreendedor I
5962042 ; Inteligência Competitiva com Enfoque Empreendedor II
5940146 ; Intervenção Individual em Desenvolvimento de Carreira
5940155 ; Intervenção Individual em Desenvolvimento de Carreira II
5920879 ; Introdução  à  Biogeografia  Histórica
5962023 ; Introdução à Administração
5940085 ; Introdução à Análise do Discurso
5952031 ; Introdução à Análise Funcional
5962089 ; Introdução à Arquivologia
5910183 ; Introdução à Automação de Equipamentos Biomédicos
5952010 ; Introdução à Computação I
5952011 ; Introdução à Computação II
5910194 ; Introdução à Estatística
5962007 ; Introdução à Estatística
5940144 ; Introdução à Etnopsicologia
5910140 ; Introdução à Física do Estado Sólido
5910182 ; Introdução à Física Nuclear
5930121 ; Introducão à Fotoquímica
5930672 ; Introdução à Geologia e Ecologia
5910230 ; Introdução à Instrumentação Biomédica
5961123 ; Introdução à Língua Brasileira de Sinais
5910136 ; Introdução à Medicina Nuclear
5962088 ; Introdução à Museologia
5961036 ; Introdução à Pedagogia: Organização do Trabalho Pedagógico
5961066 ; Introdução a Pesquisa Educacional
5931040 ; Introdução à Polímeros
5950122 ; Introdução à Probabilidade e à Estatística I
5950123 ; Introdução à Probabilidade e à Estatistica II
5952013 ; Introdução à Probabilidade e Estatística I
5952014 ; Introdução à Probabilidade e Estatística II
5970005 ; Introdução à Produção de Música Digital
5940152 ; Introdução à Psicologia
5931015 ; Introdução à Química Quântica
5930188 ; Introdução à Quimioinformática
5930127 ; Introdução à Quimiometria
5970440 ; Introdução à Regência Coral I
5970441 ; Introdução à Regência Coral II
5940153 ; Introdução à Sociologia
5952021 ; Introdução à Teoria Qualitativa das Equações Diferenciais Ordinárias e Aplicações
5910189 ; Introdução ao Biomagnetismo
5931039 ; Introdução ao Curso de Licenciatura em Química
5961165 ; Introdução aos Estudos da Educação
5931028 ; Introdução aos Estudos da Educação em Ciências
5962065 ; Introdução aos Estudos Linguísticos
5961170 ; Introdução aos Estudos Sobre Educação
5962086 ; Introdução aos Modelos de Recuperação da Informação
5952033 ; Introdução aos Problemas Inversos
5962052 ; Introdução aos Sistemas de Informação
5940024 ; Introdução às Ciências Sociais
5962005 ; Introdução às Tecnologias de Informação e Comunicação
5910188 ; Laboratório de Biofísica e Física do Corpo Humano
5910193 ; Laboratório Virtual de Tomografia por Emissão
5910180 ; Lasers em Medicina e Odontologia
5961046 ; Leitura e Produção de Textos
5970310 ; Linguagem e Estruturação Musicais I
5970311 ; Linguagem e Estruturação Musicais II
5962020 ; Linguagens Documentárias
5962061 ; Linguagens Documentárias em Bases de Dados
5962036 ; Linguagens Documentárias: Construção de Tesauros
5962062 ; Linguagens Documentárias: Sistemas de Classificação Bibliográfica
5961039 ; Literatura Infantil
5940071 ; Ludoterapia Individual de Orientacao Psicanalitica I
5940072 ; Ludoterapia Individual de Orientacao Psicanalitica II
5930120 ; Macromoléculas e Tensoativos em Solução
5962097 ; Marketing para Unidades de Informação
5910131 ; Mecânica Quântica
5910255 ; Mecânica Teórica
5930638 ; Mecanismos de Reações Orgânicas
5962058 ; Mediação Cultural: Organização de Acervos e Produtos
5962037 ; Mediação e Recepção de Informação
5952024 ; Medida e Integração
5962015 ; Memória, Sociedade e Informação
5930129 ; Metais em Sistemas Biológicos: Introdução à Bioinorgânica
5931038 ; Metodologia Científica da Pesquisa em Ensino de Química e de Ciências
5940027 ; Metodologia Cientifica Em Psicologia
5962013 ; Metodologia Científica: Processos e Técnicas de Pesquisa
5961004 ; Metodologia da Pesquisa em Ciências da Educação
5920971 ; Metodologia da Pesquisa em Ensino de Biologia e de Ciências
5970681 ; Metodologia de Ensino de Música com Estágio Supervisionado I
5970682 ; Metodologia de Ensino de Música com Estágio Supervisionado II
5920320 ; Metodologia de Estudos Faunísticos:invertebrados
5961021 ; Metodologia do Ensino da Língua Portuguesa
5961024 ; Metodologia do Ensino de Ciências
5961026 ; Metodologia do Ensino de História e Geografia
5961022 ; Metodologia do Ensino de Matemática
5961175 ; Metodologia do Ensino em Química  II
5961174 ; Metodologia do Ensino em Química I
5970398 ; Metodologia na Educação Musical
5910217 ; Métodos de Deposição e Processamento de Filmes Finos
5910213 ; Métodos de Radiação Óptica
5931009 ;1 Métodos Instrumentais
5930187 ; Métodos Matemáticos Aplicados à Físico-Química
5952009 ; Métodos Numéricos em Equações Diferenciais
5920313 ; Microbiologia
5920826 ; Microbiologia
5920816 ; Microbiologia Geral
5930123 ; Mineralogia
5931016 ; Mineralogia
5931055 ; Monografia Supervisionada em Química
5930248 ; Mudanças Climáticas
5920857 ; Mudanças Globais e o Ambiente
5970322 ; Música Brasileira I
5970323 ; Música Brasileira II
5970471 ; Música de Câmara I
5970472 ; Música de Câmara II
5970473 ; Música de Câmara III
5970474 ; Música de Câmara IV
5970688 ; Música de Câmara V
5970689 ; Música de Câmara VI
5970450 ; Música Eletroacústica I
5970451 ; Música Eletroacústica II
5970460 ; Música em Cena I
5970461 ; Música em Cena II
5970465 ; Música em Cena III
5970466 ; Música em Cena IV
5971294 ; Música em Cena V
5971295 ; Música em Cena VI
5920880 ; Mutagênese Ambiental
5940025 ; Neuroanatomia e Neurofisiologia
5940183 ; Neurobiologia da Ansiedade e da Depressão: Modelos Animais
5920227 ; Neurofisiologia Comparada
5920844 ; Neurofisiologia Comparada
5930189 ; Noções de Instrumentação e Automação dos Processos Industriais
5931003 ; Noções de Segurança em Laboratórios de Química
5961044 ; Novas Tecnologias de Comunicação e Informação
5961106 ; Nutrição, Comportamento e Aprendizagem
5940195 ; O Psicólogo em uma Equipe do Programa de Saúde da Família: Desenvolvendo Programa de Promoção de Saúde na Comunidade I
5940196 ; O Psicólogo em uma Equipe do Programa de Saúde da Família: Desenvolvendo Programa de Promoção de Saúde na Comunidade II
5940156 ; Observação da Relação Mãe-bebê-família Numa Abordagem Psicanalítica I
5940157 ; Observação da Relação Mãe-bebê-família Numa Abordagem Psicanalítica II
5961178 ; Oficinas de Ensino de Biologia I
5961179 ; Oficinas de Ensino de Biologia II
5930695 ; Oleoquímica: Processos e Aplicações Industriais
5930227 ; Operações Unitárias I
5930228 ; Operações Unitárias II
5910181 ; Óptica Aplicada ao Diagnóstico Médico e à Análise de Tecidos
5930108 ; Orbitais Moleculares em Quimica
5961103 ; Organização do Trabalho Acadêmico
5940140 ; Organização do Trabalho em Saúde junto à Comunidade
5961131 ; Orientação ao Trabalho de Conclusão de Curso
5940017 ; Orientação Profissional I
5970485 ; Orquestra I
5970486 ; Orquestra II
5970487 ; Orquestra III
5970488 ; Orquestra IV
5970489 ; Orquestra V
5970490 ; Orquestra VI
5920929 ; Paleobiologia
5920812 ; Paleontologia
5920829 ; Paleontologia
5920829 ; Paleontologia
5970575 ; Pedagogia da Voz I
5970576 ; Pedagogia da Voz II
5971282 ; Pedagogia da Voz III
5971283 ; Pedagogia da Voz IV
5971284 ; Pedagogia da Voz V
5971285 ; Pedagogia da Voz VI
5971286 ; Pedagogia da Voz VII
5971287 ; Pedagogia da Voz VIII
5970580 ; Pedagogia do Instrumento I
5970581 ; Pedagogia do Instrumento II
5970512 ; Percepção Musical I
5970513 ; Percepção Musical II
5970514 ; Percepção Musical III
5970515 ; Percepção Musical IV
5970516 ; Percepção Musical V
5970517 ; Percepção Musical VI
5931032 ; Pesquisa em Ensino de Química e de Ciências I
5931033 ; Pesquisa em Ensino de Química e de Ciências II
5970260 ; Piano Complementar  I
5970261 ; Piano Complementar  II
5970002 ; Piano em Grupo I
5970003 ; Piano em Grupo II
5910222 ; Planejamento e Desenvolvimento Experimental
5962024 ; Planejamento e Informação
5920967 ; Política e Gestão Ambiental
5920967 ; Política e Gestão Ambiental
5961119 ; Política e Gestão Educacional no Brasil
5961003 ; Política Educacional e Organização da Educação Básica I
5961142 ; Política Educacional e Organização da Educação Básica I
5961143 ; Política Educacional e Organização da Educação Básica II
5961104 ; Política Educacional e Organização da Escola Básica II
5960124 ; Prática de Ensino de Biologia I
5960125 ; Prática de Ensino de Biologia II
5940417 ; Pratica de Ensino de Psicologia II - Estágio Docente
5961122 ; Prática de Ensino em Psicologia I: Currículo e Programas
5970454 ; Prática de Repertório de Canto I
5970455 ; Prática de Repertório de Canto II
5970456 ; Prática de Repertório de Canto III
5970457 ; Prática de Repertório de Canto IV
5970458 ; Prática de Repertório de Canto V
5970459 ; Prática de Repertório de Canto VI
5930247 ; Prática Desportiva
5931056 ; Prática em Ensino de Química I
5931057 ; Prática em Ensino de Química II
5931058 ; Prática em Ensino de Química III
5960120 ; Prática Musical na Formação Docente
5920884 ; Práticas  em  Ficologia
5961054 ; Práticas de Administração da Educação
5961051 ; Práticas de Supervisão Educacional
5940142 ; Práticas em Psicologia Social I
5940143 ; Práticas em Psicologia Social II
5910173 ; Princípios de Imagens Médicas
5940051 ; Problemas de Aprendizagem Escolar
5910227 ; Processamento Digital de Sinais
